Iteration,LB,UB,AbsoluteGap,RelativeGapPercent,NormalCost,Eta,WorstRecourseCost,ScenarioCount,WorstFaultID,WorstFaultWindow,IterationTimeSeconds,CumulativeTimeSeconds
1,59286.45720116642,144484.67341807246,85198.21621690603,58.966957671961104,59286.45720116642,0,85198.21621690605,0,2,"8-13 h",21.9220985,21.995712
2,86084.212725281,96863.8769245059,10779.664199224891,11.128673083802317,59291.97862466583,26792.234100615166,37571.89829984005,1,6,"10-15 h",14.2681445,36.2647805
3,87188.82444432357,94582.00415086196,7393.179706538387,7.816687511448774,59290.95257829486,27897.871866028705,35291.05157256711,2,8,"11-16 h",16.5380801,52.8036909
4,87192.76689629054,89883.63356295669,2690.8666666661447,2.993722616677925,59294.89503026184,27897.871866028705,30588.73853269485,3,4,"9-14 h",19.5965073,72.4010071
5,89876.21581931115,89883.63356295669,7.417743645535666,0.008252607678949801,59287.47728661578,30588.738532695366,32916.97046425127,4,2,"8-13 h",19.8623952,92.2641644
6,89876.74771736123,89876.74771736082,0,0,59288.00918466587,30588.738532695366,30588.73853269496,5,4,"9-14 h",24.5335752,116.8009121
